Name	Mean(log(stomach_black))	Mean(log(stomach_white))	logFC	M-W U test pval	Adj pval
RGPD1	2.4288876104204737	3.577467375842703	-1.1485797654222294	0.0010575912236772123	0.20118944218590631
SMN2	8.249986702514711	9.39547324222476	-1.145486539710049	0.0029378293437872793	0.29078123917964094
RTBDN	3.425665165936821	4.571026213546745	-1.1453610476099243	7.483607612304155E-4	0.18670063265107298
ZFP57	0.8839706392704624	2.028594625656705	-1.1446239863862426	0.004101237865074325	0.3393625405679613
NOTUM	2.7763258241683655	3.91757917210251	-1.1412533479341445	0.04489226696971094	0.7528342228843238
KIF1A	4.252508850930128	5.389370852668374	-1.1368620017382458	0.004911959429645507	0.36279870131683895
GFRA3	5.914789845653338	7.048607099185192	-1.1338172535318538	7.186792952788013E-4	0.18425722457889004
GCG	2.53554232561481	3.66585890299182	-1.1303165773770099	0.022048275447441257	0.6070084476943984
FGL1	1.5363628880968678	2.661790768693341	-1.125427880596473	0.0014816143041521679	0.2261367424860146
CPLX2	3.598530685849464	4.721373552526785	-1.122842866677321	0.001064557831878865	0.20118944218590631
RIMBP2	4.159106725944947	5.27258037624942	-1.1134736503044724	0.004799776339098782	0.3567899048476205
SCG3	3.8768606576785283	4.988510671683926	-1.1116500140053978	8.443746125712526E-4	0.19715064671984167
C6orf52	3.989658608262318	5.090944991820299	-1.101286383557981	0.0022445651865994343	0.2685983153845821
CXCL13	5.316540064157545	6.414422389513497	-1.0978823253559522	0.0502977900338748	0.7698744837986069
ADIPOQ	3.176612880386745	4.270631514635268	-1.0940186342485227	0.010679988691983278	0.4924150735655682
PLA2G2A	9.272394286287877	10.363768069107037	-1.0913737828191596	0.12132409022100543	0.9007559441928051
PGA3	13.64079714477765	14.715636368257812	-1.0748392234801614	0.3652408235196375	0.982825927591554
FAM27A	5.985529714706548	7.056795789575993	-1.0712660748694454	1.5032304328710389E-4	0.08675143179299998
GABRB3	5.063774382869695	6.125156547091107	-1.0613821642214125	0.007587667018153055	0.43868759280826486
SCGB3A1	4.360072564176843	5.41938654499291	-1.059313980816067	0.033173861167724916	0.6842155827707884
HIST1H2BH	2.691071027091981	3.74930221735955	-1.058231190267569	0.036693819462981225	0.7109232341061852
CHURC1-FNTB	3.7996609001033907	4.857104130938793	-1.057443230835402	0.23359391056785228	0.9629271840791592
AGAP7	1.4842784983293205	2.540680611451636	-1.0564021131223156	4.028588306894676E-4	0.14386009851993303
NCCRP1	4.1326922942906785	5.186516656126733	-1.053824361836054	0.014999164875106552	0.5430711544839772
TMEM178B	2.575895715002305	3.6282044859770033	-1.0523087709746983	0.004029611608247441	0.33862288861481904
ADCYAP1	3.4747763014149577	4.522802475519368	-1.0480261741044106	0.017118184910404732	0.5647760572251649
CRABP2	6.652752344914149	7.695533958167842	-1.042781613253693	0.005931866164199273	0.39141719776230854
AL354718.1	2.3386005547298625	3.372869387579014	-1.0342688328491514	0.07161291968593675	0.8338967348595142
TTR	5.678561364993578	6.704793197026091	-1.0262318320325132	0.023601195511099404	0.6156072930056541
SLC38A4	1.8589726458195472	2.8838522998273564	-1.0248796540078091	0.0017042871360534173	0.2331006763839584
OLFM4	7.093389967093518	8.109896510072199	-1.0165065429786804	0.46476783441378977	0.9854763185071321
ASPG	4.552123499296534	5.566530618196534	-1.0144071189000003	0.028978512993344308	0.6576776241380625
EYA4	2.295595599179896	3.306438769691318	-1.0108431705114218	4.537642889639315E-4	0.15592368359643624
OGDHL	3.2364435152011968	4.233857904193853	-0.9974143889926559	0.011935831388091733	0.5126777387734118
SULT4A1	3.1440868642951507	4.138011922320323	-0.9939250580251722	0.017118184910404732	0.5647760572251649
FTCD	2.487929134346903	3.47645194545024	-0.9885228111033366	0.003454824693860714	0.31777407739692587
SLC29A4	6.01105120208987	6.997349903973382	-0.9862987018835119	0.0025698976699520815	0.27053743563680527
TTPA	1.9910127499172952	2.974336229423287	-0.983323479505992	0.0021896360277653404	0.2685983153845821
SLC44A5	2.9337046117857843	3.9170088424766867	-0.9833042306909023	0.004635845190815724	0.3523613961747129
CDK5R2	2.899417268086533	3.8799021858353453	-0.9804849177488122	0.004005989736750926	0.33862288861481904
CTD-3105H18.16	0.0	0.9782590995971108	-0.9782590995971108	0.06733945264644714	0.823630699527935
TUBB2B	6.431040814272281	7.391381565698904	-0.9603407514266227	0.01570495914227077	0.5542367535320782
SLC22A31	2.658436302596021	3.615869247791531	-0.9574329451955097	0.018548971781112145	0.5774596138078878
CDA	6.9444835040802095	7.8931468372571825	-0.9486633331769729	0.005865002638475225	0.39141719776230854
PTPRN	5.251584717601043	6.196972441307144	-0.9453877237061015	0.021305705270158293	0.6070084476943984
COL28A1	5.777948112787084	6.7165589027165264	-0.9386107899294425	0.001064557831878865	0.20118944218590631
KCNK2	3.680373556379639	4.608838928393716	-0.928465372014077	0.0010369436719714908	0.20118944218590631
BEX1	5.773852345436207	6.702205950992542	-0.9283536055563344	0.039627290822768835	0.7275123190163972
MIA	6.918642898066205	7.84598503760102	-0.9273421395348151	0.10689175863093181	0.8945214788850107
LRRC37A2	6.7944905512080815	7.717864837604362	-0.9233742863962808	1.2000571425474504E-8	1.0927720340037084E-4
LUZP6	3.65551483879212	4.576738456623682	-0.9212236178315618	0.25772695560545433	0.973302405605644
ZFR2	2.013951883628085	2.935131053096041	-0.9211791694679561	0.0012694866880204048	0.2134870349610374
KRT5	4.720691235251062	5.6363913852471	-0.915700149996038	0.064877672907933	0.8087283908277042
VSTM2L	5.904502086087225	6.815102657026744	-0.9106005709395184	0.005865002638475225	0.39141719776230854
AC104532.2	1.311000222978318	2.2162242293715284	-0.9052240063932104	0.04711628919210076	0.7619780033477951
PGC	13.387014655116744	14.290028129584872	-0.9030134744681284	0.16975888580819876	0.934880202098251
RELN	4.190098925132779	5.09212584552448	-0.9020269203917008	0.01610955799179048	0.5556577086107731
OVCH1-AS1	0.9362186674742158	1.8362004238785328	-0.899981756404317	0.020994188852993534	0.6030696646541297
RGPD2	4.290518299814772	5.189050249260306	-0.8985319494455339	0.006676546227752267	0.4107880402021091
CTD-2370N5.3	1.3899996797705751	2.2874822313335783	-0.8974825515630032	0.1442401477632077	0.919643637486018
XPNPEP2	6.105479567833215	7.000981934733456	-0.8955023669002413	0.05139751634438683	0.771683073094784
SLAMF9	0.9478208779951783	1.8428338461071565	-0.8950129681119782	0.007178646757096452	0.42447245045532656
F8A1	8.740688629392915	9.63421425346877	-0.8935256240758545	4.812587093283582E-7	0.002191170903572015
LIPF	11.929991829973993	12.823412615218707	-0.8934207852447145	0.4271364330067281	0.9854763185071321
VGLL1	1.975464772710682	2.867329977926023	-0.8918652052153411	0.1720779070028573	0.9360462492043121
KRT78	2.650759614060078	3.5293011236038723	-0.8785415095437941	0.022482629155009537	0.6084006570149089
PRSS21	3.822472565515244	4.7004916399707675	-0.8780190744555236	0.07796660460118565	0.8492391166248763
EPHX3	4.385433220698719	5.262900647225996	-0.8774674265272768	0.033481448545739756	0.6866713298592483
CLDN6	0.6140856819927599	1.4912872910419823	-0.8772016090492224	0.16016394885776608	0.9292468418597121
SLC12A5	3.98274120284992	4.858160598317029	-0.8754193954671088	0.03271701580456621	0.6817417526690616
SCGN	4.750941820511201	5.621792069181936	-0.8708502486707346	0.055288205889273634	0.7823689243632101
SYT4	2.881352204660548	3.7520496331073265	-0.8706974284467783	0.006455640434953724	0.4026374095937576
LRAT	3.2441442351161847	4.114189738494411	-0.8700455033782264	0.007545844877285268	0.43765900288254556
MT1G	11.741035527969746	12.610943826333251	-0.8699082983635051	0.12311776077877512	0.9023439789936184
GABRP	5.147105311135363	6.0168716608568875	-0.8697663497215249	0.2172678634743026	0.9588141716898987
CHGB	5.620018108153239	6.489692480451941	-0.8696743722987019	0.01586571339880527	0.5542367535320782
PCSK1	3.458446173189875	4.31756356341446	-0.859117390224585	0.011998772299685823	0.5129615988776484
LEFTY1	2.730941191625714	3.590036067807543	-0.8590948761818291	0.16975888580819876	0.934880202098251
DACT2	3.07972915783069	3.9361578132174504	-0.8564286553867606	0.06930687934801838	0.8304058465040202
CD36	8.774133316157066	9.626543518760254	-0.8524102026031883	0.0024469093178198786	0.27045041214742793
RTN4RL1	3.1731459387393497	4.024910763403005	-0.8517648246636553	0.0015493743590894171	0.2261367424860146
BRINP1	1.7401414532910624	2.591683557541423	-0.8515421042503606	3.9444914033037737E-4	0.14367415487393664
SFTPB	1.7503914063860857	2.601745236510122	-0.8513538301240362	0.03196757822042817	0.6707298785143294
PGA4	13.213539713478015	14.06304773451793	-0.8495080210399149	0.4424122899283698	0.9854763185071321
FBLL1	2.6117548401479342	3.456843407934851	-0.8450885677869167	0.0022307157722742943	0.2685983153845821
CERS1	3.0980451447997788	3.9401068934639683	-0.8420617486641895	0.022264531246423136	0.6070084476943984
SIGLEC5	2.4764829656459297	3.317902081236739	-0.8414191155908091	0.030943118186818164	0.6621880967643171
UNC13A	2.13632338256021	2.9763501970078754	-0.8400268144476652	0.0025231294129831605	0.27045041214742793
MAG	0.9106617692221552	1.7504205581679486	-0.8397587889457934	0.003177231240619305	0.30137362163624365
HLA-DRB5	8.907584078719859	9.744281185625768	-0.836697106905909	0.09133580319476031	0.881584837564455
CCL14	9.721033866674373	10.557231114918496	-0.8361972482441224	0.06596247455781623	0.8138947064003721
SLC7A10	1.933388699179434	2.7695018020814115	-0.8361131029019775	0.0023582290841852593	0.2700643650452376
MLXIPL	5.346771557687003	6.181010724020816	-0.8342391663338136	0.009594630906723522	0.47481485864053175
WFDC3	4.258308541763759	5.091888373437738	-0.8335798316739789	0.07703177543089634	0.848370828723368
ULBP2	2.517772727467017	3.34656219600644	-0.8287894685394228	0.012578612292452718	0.5194596078688184
ASB12	1.4445080476201237	2.270785557568584	-0.82627750994846	0.005084684642184256	0.36523988431734244
CHP2	3.3328507015733906	4.1586255178848015	-0.8257748163114109	0.10449220579534724	0.8909232452925393
CHIA	4.657428678540206	5.4828453095297025	-0.8254166309894968	0.14784258388117755	0.919643637486018
AIM2	3.925007198368904	4.749055583010989	-0.8240483846420852	0.018548971781112145	0.5774596138078878
HOXC6	2.56307182315678	3.3862812335335994	-0.8232094103768195	0.03770731275075512	0.7168325467815785
CIDEA	3.578281712046169	4.40115191025828	-0.8228701982121107	0.09568781736685417	0.8829389785261428
MFAP5	8.665171087255922	9.486098795554076	-0.8209277082981536	0.019495431243159445	0.5907667118143425
GC	5.147978324301784	5.9640309798466875	-0.8160526555449037	0.028842386935727493	0.6576776241380625
FABP4	8.654483162493872	9.466917063649383	-0.8124339011555115	0.005668468813865402	0.3880983234515665
LRRC37A	4.209646601901891	5.021138582142887	-0.8114919802409961	3.4479703878709245E-6	0.00784930458798816
AP000295.9	2.053443877113893	2.864337669859915	-0.8108937927460218	0.19023097023553237	0.945832071542246
DPYS	0.9334488489282248	1.744324826640851	-0.8108759777126263	0.003935876481604206	0.33862288861481904
CDRT4	5.585493843273366	6.388869639317024	-0.8033757960436576	0.010070245306785242	0.47760236335201256
LGI3	3.4223811988474977	4.224567378418001	-0.8021861795705036	0.005415667653268397	0.37716852329801914
FAM83A	2.805496913595838	3.606778719702405	-0.8012818061065672	0.10291640950696956	0.8883003080288766
KLK10	5.872781467661649	6.670733855562989	-0.7979523879013399	0.08783193685866142	0.8760105334446558
TMEM40	2.2568077973972325	3.053759132189803	-0.7969513347925705	0.051619859732691675	0.7718398074316756
CXCR5	2.0931056947709217	2.8881341001499807	-0.795028405379059	0.29621840316833414	0.9755387990057326
AC037459.4	4.636902107807179	5.431577697194192	-0.7946755893870128	0.3137091110614555	0.9779028442757544
FDCSP	3.1910396584710563	3.9856001150638867	-0.7945604565928304	0.344971981785283	0.9812009577188152
PLTP	10.260689109591775	11.052704014277992	-0.7920149046862175	3.1891381750681624E-4	0.13200132828259403
OTC	3.831027508530198	4.622582987004011	-0.7915554784738132	0.21520042806004724	0.9588141716898987
RP4-539M6.19	3.1999930700542256	3.98534208416865	-0.7853490141144244	0.25772695560545433	0.973302405605644
GPR115	1.37937480893284	2.164621717927755	-0.785246908994915	0.023715664061525588	0.6156072930056541
SLC35F3	2.2115247329806866	2.996526227613502	-0.7850014946328154	0.0017479382664878917	0.23580334599464806
DYDC2	0.8354776699420563	1.6181834080261992	-0.7827057380841429	0.024295259729376628	0.6196992579711585
RUNDC3A	4.985553694706717	5.7677967078168875	-0.7822430131101701	0.020483811018691567	0.6019145031673652
PPP2R2C	3.7819334440481516	4.561729102830089	-0.7797956587819375	0.062229937263453605	0.8025203955087931
SERPINA1	10.008962958906846	10.788745620573277	-0.779782661666431	0.09385471512270493	0.8829389785261428
FMO2	6.305177858315025	7.084405429129663	-0.7792275708146379	0.041075206081202964	0.7326754683162277
SEZ6	2.9393150331706286	3.717912511197248	-0.7785974780266196	0.021305705270158293	0.6070084476943984
MYBPC1	3.057255361911925	3.833441455489165	-0.7761860935772402	0.10097330662207249	0.8866107973452326
SCGB3A2	0.9501144669519455	1.72580720187838	-0.7756927349264346	0.06301470347990779	0.8025203955087931
EVA1A	3.6983091881919474	4.471245568422232	-0.7729363802302842	0.013183124438215232	0.5235200653513293
KCNT1	2.0211633127566784	2.7929418640264507	-0.7717785512697724	9.902082352044594E-4	0.20118944218590631
MSLNL	0.6436767239428569	1.4104534832520794	-0.7667767593092225	0.0023007542938718872	0.2685983153845821
CLECL1	3.6231806342425976	4.389686432093609	-0.7665057978510115	0.03302097648295521	0.6841615741838228
PI15	2.981443671386665	3.7476771222770155	-0.7662334508903506	0.060684653598945926	0.8014422852385811
FXYD2	4.078128579074876	4.841396361076496	-0.7632677820016207	0.020994188852993534	0.6030696646541297
MT1H	7.311700032368489	8.073837495335589	-0.7621374629670994	0.30839197218418635	0.9779028442757544
LEKR1	2.5959157908934527	3.357755211722774	-0.7618394208293213	5.07505576741174E-5	0.03881785107937763
CAPN14	2.047954063463856	2.8067696017897505	-0.7588155383258948	0.011935831388091733	0.5126777387734118
SALL4	1.5157520219713343	2.2731453047774144	-0.7573932828060801	0.017291570058725836	0.5653753571086443
AIF1L	7.29035431501252	8.045846620477311	-0.7554923054647915	7.284493833560335E-4	0.18425722457889004
MRC1	3.562553204621317	4.31665367271576	-0.754100468094443	0.10330857570224228	0.8887367882329884
PTPN20B	3.3874190578207344	4.139357925103092	-0.7519388672823579	0.09133580319476031	0.881584837564455
NPIPA5	5.897439739409692	6.648412312970291	-0.750972573560599	0.14680637137499153	0.919643637486018
TTC18	3.729455472483078	4.479072157243028	-0.7496166847599497	0.002343738429761766	0.2700643650452376
NAGS	4.4662147623103925	5.215561202969812	-0.7493464406594192	0.004399441779794899	0.34685122811092944
CASQ2	6.73247850042013	7.480993314124971	-0.7485148137048414	0.08612110568523534	0.8700282298076777
REG3G	1.9097043297066763	2.653901337541572	-0.7441970078348956	0.04089180012313498	0.7326754683162277
BNC1	1.48961639546307	2.232048002538953	-0.742431607075883	0.0014816143041521679	0.2261367424860146
STMN2	4.917919240020768	5.658078604173397	-0.7401593641526292	0.03702904118124306	0.7128677568634235
FAM27E3	4.206003133137703	4.945480799438142	-0.7394776663004397	0.001121838098688266	0.2036128881374263
DHRS4-AS1	6.267254554880658	7.005969981834912	-0.7387154269542542	1.3134017486926552E-4	0.07973224215730214
CLEC18C	1.2809963638288937	2.0194999857449925	-0.7385036219160988	0.0025386316182632873	0.27045041214742793
TNC	8.919659761734003	9.656353719862148	-0.7366939581281446	0.023830613967108838	0.6156072930056541
FAM90A1	2.3200616154846903	3.0563428396954984	-0.7362812242108081	0.0021227078881129735	0.2685983153845821
SLC30A2	1.420559877658322	2.1560913558169514	-0.7355314781586295	0.019495431243159445	0.5907667118143425
TRIM54	2.3221540961812597	3.057459707401123	-0.7353056112198635	0.09754947281678639	0.8847465134159929
MUC7	0.6627306022352584	1.394997399508262	-0.7322667972730037	0.09754947281678639	0.8847465134159929
CELF4	3.8709179621744982	4.603116444223378	-0.7321984820488798	0.01586571339880527	0.5542367535320782
CA12	6.7176015860538625	7.445901757373013	-0.7283001713191508	0.019885669426605745	0.5956542953903681
ACTL6B	2.3429200451600316	3.0710856112517066	-0.728165566091675	0.0023582290841852593	0.2700643650452376
GAL	5.208060721964351	5.934743755940011	-0.72668303397566	0.2084114332641378	0.9578957612918001
NTF4	1.0589573945414543	1.785555627780475	-0.7265982332390206	0.024530513204324977	0.620485703440509
CLDN3	5.476607691652127	6.198862637910231	-0.7222549462581043	0.039627290822768835	0.7275123190163972
AC110771.1	1.9307611509938751	2.651070411107321	-0.7203092601134458	0.004635845190815724	0.3523613961747129
CAPN6	6.751091403452241	7.4712738161711005	-0.7201824127188594	0.10020429674597875	0.8866107973452326
CAMK2N2	3.14640674971046	3.8665506921457955	-0.7201439424353353	0.029115191716077127	0.6576776241380625
CCL7	0.5025553783835542	1.220869936523578	-0.7183145581400238	0.08018382115150124	0.8534061372630386
IGDCC3	1.1786929249819145	1.8962378248056566	-0.7175448998237421	0.004451010899564123	0.34790476610670307
MUSTN1	7.485520292826721	8.201453864184321	-0.7159335713576	0.12087888184271312	0.9007559441928051
CRYBA2	4.065206597225863	4.780479504391754	-0.7152729071658905	0.03586705696361969	0.7061738826177749
FGF14	4.579411885365721	5.294350752166694	-0.7149388668009733	0.05008022798733536	0.7698744837986069
ART5	2.2782816001812694	2.9902757213923374	-0.7119941212110681	0.024295259729376628	0.6196992579711585
FIGF	5.773084326488277	6.484767464136658	-0.7116831376483805	0.025006947182961703	0.6264463852766142
SCARA5	7.88552378627335	8.597046957893141	-0.7115231716197918	0.044497562740038354	0.7510561748114721
NKX2-2	2.493757318028425	3.2052643483145418	-0.7115070302861168	0.006276599314745557	0.40108570778998626
RASD1	7.2837978320776156	7.994404103240244	-0.7106062711626286	0.016775985036680652	0.5647760572251649
LRRC31	4.407683262410682	5.11765589168762	-0.7099726292769377	0.023487206692543783	0.6156072930056541
RBP2	3.104138516443265	3.813647045782541	-0.709508529339276	0.4613749655067262	0.9854763185071321
CERS4	8.82102535517453	9.530378968429002	-0.7093536132544713	0.010070245306785242	0.47760236335201256
ANXA8L2	2.017190351106575	2.726524710978482	-0.7093343598719066	0.11477931937972163	0.9007559441928051
HOXA6	4.058704207401844	4.767670383874582	-0.708966176472738	0.058673867047332684	0.7972438216119633
HS3ST2	2.851995473283376	3.559351161969862	-0.7073556886864858	0.022264531246423136	0.6070084476943984
SLCO1B3	0.9589353246506443	1.664701184517895	-0.7057658598672506	0.11182171555994103	0.8975306671563006
ST18	2.6770092985413454	3.382290775849962	-0.7052814773086165	0.00842277244556966	0.4511633287609254
DUSP9	0.6320867188956596	1.3365034268669744	-0.7044167079713148	0.03123290487614605	0.6621880967643171
SCG2	5.548657930219186	6.2526484740705195	-0.7039905438513339	0.09982154667773657	0.8866107973452326
PYGL	7.301032727088257	8.003712563537118	-0.7026798364488602	0.005114000137322772	0.36523988431734244
HPD	3.713255841636092	4.415169093362987	-0.7019132517268951	0.014101642469256603	0.5372784783474922
CTAG2	0.31655202009634154	1.0171805997833645	-0.700628579687023	0.1646268730737276	0.9335301419996158
DLK1	2.1731315804001223	2.872232600675108	-0.6991010202749859	0.05184300747696424	0.772007238078882
RGS11	6.60720222675501	7.303580826706919	-0.6963785999519088	0.007842992382840364	0.4432872206167394
VIP	5.9124795755455715	6.607853139607569	-0.6953735640619971	0.14629035257504575	0.919643637486018
CCL21	10.334151239673133	11.029434247675708	-0.6952830080025745	0.17619309970595043	0.9405911371732123
INSM1	3.6687651516622983	4.363795131067937	-0.6950299794056383	0.029528561605549286	0.6576776241380625
SLC30A8	2.13383803837516	2.8234377227555103	-0.6895996843803505	0.026865621684568408	0.6463364625090618
CP	6.141930639975238	6.83055916318804	-0.6886285232128024	0.14373105426508404	0.919643637486018
CNNM1	3.602155336751857	4.29073708789832	-0.6885817511464629	0.030370463535037917	0.6576776241380625
SPRR1B	4.085111215617131	4.771038070485263	-0.6859268548681321	0.2561697711499792	0.973302405605644
RP11-1084J3.4	1.0047131887365948	1.6901041746510155	-0.6853909859144207	0.060684653598945926	0.8014422852385811
FCRL1	2.55930765402707	3.24431990784579	-0.6850122538187202	0.17678692414583275	0.9405911371732123
CLDN19	1.1814517668382607	1.8659475800490573	-0.6844958132107966	0.03137866942167833	0.6621880967643171
ASGR1	4.268326527984384	4.952307525734462	-0.6839809977500781	0.009139148161471211	0.4610087391284806
CRABP1	4.983512781838664	5.666172690803169	-0.6826599089645047	0.20309306437342545	0.9578957612918001
F12	4.9134311721548904	5.59605776989718	-0.6826265977422894	0.014029033540407077	0.5356326181087918
FBXL16	5.815184531798373	6.49773412971704	-0.6825495979186673	0.008105987726014785	0.4460007506531156
KRT16	3.526364679664671	4.205278309510767	-0.6789136298460963	0.3128187570216312	0.9779028442757544
HOXA9	2.330146040517974	3.006574779969991	-0.676428739452017	0.03379147239548752	0.6883784063384997
LGALS12	2.6729342008912913	3.349359487467112	-0.6764252865758209	0.017118184910404732	0.5647760572251649
PNMA6C	3.108018985772261	3.7844241992701595	-0.6764052134978984	0.11779812587642435	0.9007559441928051
OLR1	3.381253487551308	4.057612388122529	-0.6763589005712207	0.045891963574977046	0.7604953963853339
TSACC	2.9069001055164416	3.5818930004807115	-0.6749928949642698	0.03123290487614605	0.6621880967643171
MAPK8IP2	5.176925130481792	5.850897060094757	-0.6739719296129651	0.020686648918163186	0.6019145031673652
MAPK15	4.005540319668751	4.679117807607798	-0.6735774879390473	0.0020834568103806905	0.2685983153845821
HOXA7	5.417672265811122	6.090613740682274	-0.672941474871152	0.060684653598945926	0.8014422852385811
IQCA1	3.2307536490776094	3.9031427659220923	-0.6723891168444829	0.002258493345554391	0.2685983153845821
PRODH	6.533133872231492	7.205477577397957	-0.6723437051664654	0.17149594152906866	0.9359556748958341
HIST1H2AI	1.4848667898497014	2.15666927352054	-0.6718024836708385	0.23359391056785228	0.9629271840791592
HSD11B1	5.791376868594487	6.463026147859125	-0.6716492792646385	0.052743684824466674	0.7750867713599028
RPRML	1.9165936297039863	2.583619955292596	-0.6670263255886095	0.014770189585497362	0.5379893854621559
ABCC8	5.336679188618747	6.00328390608249	-0.6666047174637431	0.07734236486832635	0.848370828723368
HABP2	4.758294569952836	5.420805546542587	-0.6625109765897506	0.14020590298629343	0.9188304804556948
NHLH2	0.9875538265895413	1.6496976557291108	-0.6621438291395695	0.009089749730516794	0.4610087391284806
AC112715.2	0.7328095743950821	1.391984723145666	-0.6591751487505838	0.07428197490707433	0.8413080391838543
HIST1H2BJ	5.1472487065659545	5.806347860033757	-0.6590991534678023	0.16406393999183666	0.9335301419996158
REG1B	4.647009928477692	5.304863406255808	-0.657853477778116	0.20975666022576867	0.9578957612918001
DNAH7	2.960682319559884	3.6182180568700586	-0.6575357373101745	0.011998772299685823	0.5129615988776484
AMTN	1.6831004978570605	2.3402237252153695	-0.657123227358309	0.2911009545558527	0.9741879059851506
CYP1B1	7.2468984369988	7.903329555551683	-0.6564311185528835	0.05892214934601925	0.7972438216119633
CILP	6.32237880982748	6.977414221654222	-0.6550354118267414	0.13097279306122467	0.9111063816772437
SLC14A2	1.5804101195879143	2.2341978552295387	-0.6537877356416244	0.01968970603610054	0.5936902753799057
PCDHB8	2.2947105957719223	2.948099752871297	-0.6533891570993746	0.05793422780656843	0.7951003442450822
LRRTM4	1.3272535254159523	1.979297744652722	-0.6520442192367697	0.0010166696941600328	0.20118944218590631
KLK14	2.313770103522738	2.96566587546807	-0.6518957719453322	0.008655779606264402	0.45958909093086675
ADAM32	2.497057483945764	3.1486511383379825	-0.6515936543922183	0.008285676097175232	0.4511633287609254
INA	3.961935312986894	4.612945207380381	-0.651009894393487	0.023830613967108838	0.6156072930056541
RSPO2	5.875758867532335	6.525533095317609	-0.649774227785274	0.045891963574977046	0.7604953963853339
SEPT3	3.621889375240351	4.268264939875218	-0.6463755646348668	0.005999415878141345	0.3916177848484236
NGFR	6.131060727993377	6.776356238626295	-0.6452955106329181	0.10810780162278133	0.8945214788850107
SFRP2	8.777136041539128	9.420874363204293	-0.6437383216651646	0.3672092323657894	0.9831835548141366
TGFB3	7.305526268458111	7.948682233224699	-0.6431559647665877	0.010510521224951663	0.4870677164092104
