Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
													Drug metabolism - other enzymes		
													Pancreatic secretion		
													Renin secretion		
													AGE-RAGE signaling pathway in diabetic complications		
													Vitamin digestion and absorption		
													Drug metabolism - cytochrome P450		
													Focal adhesion		
													Calcium signaling pathway		
													Antifolate resistance		
													Gap junction		
													Linoleic acid metabolism		
													alpha-Linolenic acid metabolism		
													Ether lipid metabolism		
													Cholesterol metabolism		
													Renal cell carcinoma		
													Ascorbate and aldarate metabolism		
													Axon guidance		
													Serotonergic synapse		
													Hypertrophic cardiomyopathy		
													Alcoholism		
													FoxO signaling pathway		
													IL-17 signaling pathway		
													Platinum drug resistance		
													Maturity onset diabetes of the young		
													Insulin resistance		
													Lysosome		
													Arrhythmogenic right ventricular cardiomyopathy		
													Mineral absorption		
													Regulation of actin cytoskeleton		
													Carbohydrate digestion and absorption		
													Pentose and glucuronate interconversions		
													Regulation of lipolysis in adipocytes		
													Chemical carcinogenesis		
													Proteasome		
													Necroptosis		
													Biosynthesis of unsaturated fatty acids		
													Morphine addiction		
													Salivary secretion		
													Tryptophan metabolism		
													Retinol metabolism		
													Glycosaminoglycan degradation		
													MAPK signaling pathway		
													Legionellosis		
													ECM-receptor interaction		
													B cell receptor signaling pathway		
													Transcriptional misregulation in cancer		
													Mismatch repair		
													EGFR tyrosine kinase inhibitor resistance		
													Apelin signaling pathway		
													Parathyroid hormone synthesis, secretion and action		
													Dopaminergic synapse		
													Metabolism of xenobiotics by cytochrome P450		
													Amoebiasis		
													Adrenergic signaling in cardiomyocytes		
													Human papillomavirus infection		
													Dilated cardiomyopathy		
													Cholinergic synapse		
													Nitrogen metabolism		
													Cocaine addiction		
													Glycosaminoglycan biosynthesis - heparan sulfate / heparin		
													Sphingolipid metabolism		
													Olfactory transduction		
													Renin-angiotensin system		
													Salmonella infection		
													Amphetamine addiction		
													Circadian entrainment		
													Nicotine addiction		
													Adherens junction		
													Melanoma		
													Aldosterone synthesis and secretion		
													Phospholipase D signaling pathway		
													Thyroid hormone synthesis		
													beta-Alanine metabolism		
													Leukocyte transendothelial migration		
