Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
													Oocyte meiosis		
													ABC transporters		
													Ovarian steroidogenesis		
													Endocrine and other factor-regulated calcium reabsorption		
													Cellular senescence		
													Glycosaminoglycan degradation		
													African trypanosomiasis		
													Taste transduction		
													Pathogenic Escherichia coli infection		
													Rheumatoid arthritis		
													Sphingolipid metabolism		
													Ferroptosis		
													Salmonella infection		
													Apoptosis		
													Amino sugar and nucleotide sugar metabolism		
													Neuroactive ligand-receptor interaction		
													Glutamatergic synapse		
													Linoleic acid metabolism		
													Parathyroid hormone synthesis, secretion and action		
													Purine metabolism		
													Pentose phosphate pathway		
													Thyroid hormone synthesis		
													IL-17 signaling pathway		
													Other glycan degradation		
													Starch and sucrose metabolism		
													Carbohydrate digestion and absorption		
													Aldosterone synthesis and secretion		
													Adrenergic signaling in cardiomyocytes		
													Aminoacyl-tRNA biosynthesis		
													Sphingolipid signaling pathway		
													cGMP-PKG signaling pathway		
													Ras signaling pathway		
													AMPK signaling pathway		
													Non-small cell lung cancer		
													Nicotine addiction		
													Hepatitis C		
													Breast cancer		
													Autophagy - animal		
													Graft-versus-host disease		
													Allograft rejection		
													Longevity regulating pathway		
