Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
													GnRH secretion		
													NF-kappa B signaling pathway		
													PD-L1 expression and PD-1 checkpoint pathway in cancer		
													Tuberculosis		
													RNA transport		
													Hippo signaling pathway		
													Kaposi sarcoma-associated herpesvirus infection		
													Staphylococcus aureus infection		
													Gastric cancer		
													Small cell lung cancer		
													Ribosome		
													Insulin secretion		
													Non-small cell lung cancer		
													PPAR signaling pathway		
													Long-term potentiation		
													Antigen processing and presentation		
													Fatty acid biosynthesis		
													Bladder cancer		
													Pertussis		
													Amphetamine addiction		
													Folate biosynthesis		
													Oxidative phosphorylation		
													Glycosylphosphatidylinositol (GPI)-anchor biosynthesis		
													Fat digestion and absorption		
													Proximal tubule bicarbonate reclamation		
													Transcriptional misregulation in cancer		
													Chronic myeloid leukemia		
													Neurotrophin signaling pathway		
													Glycosaminoglycan biosynthesis - heparan sulfate / heparin		
													Circadian rhythm		
													Aldosterone-regulated sodium reabsorption		
													Adipocytokine signaling pathway		
													Human immunodeficiency virus 1 infection		
													Estrogen signaling pathway		
													Type I diabetes mellitus		
													Steroid hormone biosynthesis		
													Fc gamma R-mediated phagocytosis		
													Salmonella infection		
													Cardiac muscle contraction		
													Apoptosis		
													MicroRNAs in cancer		
													ErbB signaling pathway		
													Epstein-Barr virus infection		
													Nitrogen metabolism		
													T cell receptor signaling pathway		
													Other types of O-glycan biosynthesis		
													Notch signaling pathway		
													GnRH signaling pathway		
													Arachidonic acid metabolism		
													Hepatitis B		
													GABAergic synapse		
													Colorectal cancer		
													Shigellosis		
													Vasopressin-regulated water reabsorption		
													Endometrial cancer		
													Legionellosis		
													Nucleotide excision repair		
													Platelet activation		
													Cocaine addiction		
													Synaptic vesicle cycle		
													Non-homologous end-joining		
													Renal cell carcinoma		
													Retrograde endocannabinoid signaling		
													Ovarian steroidogenesis		
													Fluid shear stress and atherosclerosis		
													Adherens junction		
													HIF-1 signaling pathway		
													Thiamine metabolism		
													Progesterone-mediated oocyte maturation		
													Mineral absorption		
													Long-term depression		
													Spinocerebellar ataxia		
													Sphingolipid signaling pathway		
													mTOR signaling pathway		
													Taurine and hypotaurine metabolism		
													Histidine metabolism		
													ABC transporters		
													RNA polymerase		
													Choline metabolism in cancer		
													Hepatocellular carcinoma		
													Thyroid hormone synthesis		
													Pancreatic cancer		
													Protein export		
													Prostate cancer		
													Propanoate metabolism		
