Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
													Glycosphingolipid biosynthesis - lacto and neolacto series		
													Hedgehog signaling pathway		
													mRNA surveillance pathway		
													Parathyroid hormone synthesis, secretion and action		
													Alcoholism		
													RNA transport		
													Growth hormone synthesis, secretion and action		
													Kaposi sarcoma-associated herpesvirus infection		
													Human T-cell leukemia virus 1 infection		
													Protein digestion and absorption		
													PD-L1 expression and PD-1 checkpoint pathway in cancer		
													Insulin secretion		
													Insulin resistance		
													Sphingolipid metabolism		
													JAK-STAT signaling pathway		
													Hypertrophic cardiomyopathy		
													Histidine metabolism		
													Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate		
													Osteoclast differentiation		
													Homologous recombination		
													Cortisol synthesis and secretion		
													Fanconi anemia pathway		
													Oxytocin signaling pathway		
													Regulation of lipolysis in adipocytes		
													C-type lectin receptor signaling pathway		
													Citrate cycle (TCA cycle)		
													Ovarian steroidogenesis		
													Salivary secretion		
													Apoptosis		
													Alanine, aspartate and glutamate metabolism		
													Carbohydrate digestion and absorption		
													Terpenoid backbone biosynthesis		
													Nicotine addiction		
													Butanoate metabolism		
													Platelet activation		
													Mismatch repair		
