Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
													Circadian entrainment	Glycosphingolipid biosynthesis - ganglio series	
													Adrenergic signaling in cardiomyocytes	Endocrine resistance	
													Circadian rhythm	mRNA surveillance pathway	
													PPAR signaling pathway	Epstein-Barr virus infection	
													Fat digestion and absorption	Bacterial invasion of epithelial cells	
													Parkinson disease	Ferroptosis	
													Purine metabolism	Porphyrin and chlorophyll metabolism	
													Nitrogen metabolism	Tryptophan metabolism	
													Longevity regulating pathway	Toll-like receptor signaling pathway	
													Gap junction	beta-Alanine metabolism	
													Hepatitis B	Retrograde endocannabinoid signaling	
													Aldosterone synthesis and secretion	Aldosterone-regulated sodium reabsorption	
													Growth hormone synthesis, secretion and action	Citrate cycle (TCA cycle)	
													TGF-beta signaling pathway	Autophagy - animal	
													Glutamatergic synapse	Maturity onset diabetes of the young	
													Pentose and glucuronate interconversions	Legionellosis	
													Insulin secretion	Human immunodeficiency virus 1 infection	
													Colorectal cancer	Ether lipid metabolism	
													Hedgehog signaling pathway	Central carbon metabolism in cancer	
													Longevity regulating pathway - multiple species	Collecting duct acid secretion	
													RNA polymerase	Progesterone-mediated oocyte maturation	
													Metabolism of xenobiotics by cytochrome P450	Long-term depression	
													Human papillomavirus infection	Olfactory transduction	
													Drug metabolism - other enzymes	2-Oxocarboxylic acid metabolism	
													Mineral absorption	ErbB signaling pathway	
													Hippo signaling pathway - multiple species	Aminoacyl-tRNA biosynthesis	
													Type II diabetes mellitus	Small cell lung cancer	
													Melanoma	Inositol phosphate metabolism	
													Primary immunodeficiency	Dopaminergic synapse	
													Biosynthesis of unsaturated fatty acids	Mismatch repair	
													Cushing syndrome	Fc epsilon RI signaling pathway	
													Alzheimer disease	Tight junction	
													Hippo signaling pathway	Arginine biosynthesis	
													Glutathione metabolism	Vasopressin-regulated water reabsorption	
													Mucin type O-glycan biosynthesis	Adipocytokine signaling pathway	
														Vibrio cholerae infection	
														Primary bile acid biosynthesis	
														Endocytosis	
														Chronic myeloid leukemia	
														Fatty acid degradation	
														Systemic lupus erythematosus	
														Fc gamma R-mediated phagocytosis	
