Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
													Proximal tubule bicarbonate reclamation		
													Ether lipid metabolism		
													Phagosome		
													Hematopoietic cell lineage		
													Cytokine-cytokine receptor interaction		
													Glycerophospholipid metabolism		
													PD-L1 expression and PD-1 checkpoint pathway in cancer		
													Leukocyte transendothelial migration		
													Non-small cell lung cancer		
													Endometrial cancer		
													Longevity regulating pathway - multiple species		
													Autophagy - animal		
													alpha-Linolenic acid metabolism		
													Human cytomegalovirus infection		
													RNA polymerase		
													Phospholipase D signaling pathway		
													Inflammatory mediator regulation of TRP channels		
													Basal cell carcinoma		
													Hippo signaling pathway - multiple species		
													Primary bile acid biosynthesis		
													Porphyrin and chlorophyll metabolism		
													Hypertrophic cardiomyopathy		
													Fc gamma R-mediated phagocytosis		
													Protein processing in endoplasmic reticulum		
													Long-term depression		
													Cholesterol metabolism		
													Complement and coagulation cascades		
													Glycerolipid metabolism		
													Tuberculosis		
													Renin secretion		
													Spinocerebellar ataxia		
													Lysine degradation		
													Glyoxylate and dicarboxylate metabolism		
													Steroid hormone biosynthesis		
													Notch signaling pathway		
													Choline metabolism in cancer		
													C-type lectin receptor signaling pathway		
													Hepatocellular carcinoma		
													Thiamine metabolism		
													Fluid shear stress and atherosclerosis		
													Pertussis		
													Phototransduction		
