Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
													Drug metabolism - cytochrome P450		
													Pancreatic secretion		
													Endocytosis		
													TNF signaling pathway		
													Autoimmune thyroid disease		
													T cell receptor signaling pathway		
													Long-term depression		
													Acute myeloid leukemia		
													Basal cell carcinoma		
													Hematopoietic cell lineage		
													Pathogenic Escherichia coli infection		
													Biosynthesis of unsaturated fatty acids		
													Prostate cancer		
													Chagas disease		
													Alzheimer disease		
													Renin secretion		
													Toll-like receptor signaling pathway		
													Non-alcoholic fatty liver disease		
													Peroxisome		
													Metabolism of xenobiotics by cytochrome P450		
													Legionellosis		
													Thyroid hormone synthesis		
													Insulin secretion		
													Fluid shear stress and atherosclerosis		
													Taste transduction		
													Thermogenesis		
													Estrogen signaling pathway		
													Protein digestion and absorption		
													Thyroid hormone signaling pathway		
													Pancreatic cancer		
													Maturity onset diabetes of the young		
													Hippo signaling pathway - multiple species		
													Synthesis and degradation of ketone bodies		
													Steroid hormone biosynthesis		
													GnRH secretion		
													Colorectal cancer		
													Human cytomegalovirus infection		
													Valine, leucine and isoleucine degradation		
													Small cell lung cancer		
													Amphetamine addiction		
													Chemical carcinogenesis		
													Tryptophan metabolism		
													Mineral absorption		
													Melanoma		
													Circadian entrainment		
													Inflammatory mediator regulation of TRP channels		
													Drug metabolism - other enzymes		
													cAMP signaling pathway		
													Calcium signaling pathway		
													Cocaine addiction		
													Regulation of lipolysis in adipocytes		
													Porphyrin and chlorophyll metabolism		
													Glucagon signaling pathway		
													Transcriptional misregulation in cancer		
													Other types of O-glycan biosynthesis		
