Name	Mean(log(prostate_black))	Mean(log(prostate_white))	logFC	M-W U test pval	Adj pval
BX088651.1	1.523092180488391	2.4249261778095654	-0.9018339973211744	0.024272076635412088	0.3810716031759698
ACTC1	9.076155802503413	9.975393018740867	-0.899237216237454	0.2897532220097354	0.7112799136327405
TMEM74B	3.9792281049854745	4.878113573654676	-0.8988854686692012	0.023646187032892674	0.378754932491681
PITX2	3.1099512058019068	4.008432748992583	-0.8984815431906759	0.07407004420526253	0.49268212018489455
MYBPH	0.7923601161195954	1.688300498730943	-0.8959403826113475	0.07737722597144348	0.49777253245917646
CORO6	5.989240329174501	6.883715921043605	-0.8944755918691047	0.03824958773370768	0.4181281463423075
AC010327.2	2.762039547573248	3.654844855075186	-0.8928053075019378	0.016928187838772923	0.3456234943046328
AC008443.1	1.4537636367822175	2.3444760105922913	-0.8907123738100737	0.05990253364656484	0.46962761204099823
MYOZ2	2.386249570209352	3.2769488108326468	-0.8906992406232948	0.09676438281549438	0.5308051023601758
RGS11	6.200714618229199	7.088987161089505	-0.8882725428603058	0.02099991603001161	0.36876415424989994
PCDHGC5	2.4908871322481545	3.3780829893053896	-0.8871958570572351	0.0015726233199228057	0.21387470345525378
MAG	1.9424687580499602	2.827935080344344	-0.8854663222943839	0.11172138321418823	0.5525990850344367
GOLGA8B	7.116152822764217	7.9974164011444495	-0.8812635783802323	0.004443323502084207	0.24865619768008274
CARTPT	5.12147334387541	5.998436809111573	-0.8769634652361633	0.278475686170783	0.7060558536185856
VAX2	2.5571498664456462	3.426730277262464	-0.8695804108168179	0.03778426761697007	0.4181281463423075
AL358333.1	4.8908519683797	5.758528653084676	-0.8676766847049766	0.20971837489941103	0.6543414500030964
PIANP	5.233125577783951	6.097746912638475	-0.8646213348545242	0.03175902961204846	0.40390743526161077
COL28A1	4.931315663893697	5.783745764433427	-0.8524301005397303	0.036417099474779446	0.41686248625687194
LAMP5	4.374367071031584	5.224353578770235	-0.8499865077386515	0.08345363928227978	0.5096772899426155
AL162389.1	0.04199756685425327	0.8861058539666806	-0.8441082871124274	4.3617442168419895E-4	0.1583768730029917
MSMP	1.6968857692251686	2.5382817792058643	-0.8413960099806956	0.32049682087862963	0.7352170426806401
DARC	9.00846074697053	9.84786524231788	-0.8394044953473507	0.1954999853620205	0.6407136464662799
IL1RL1	4.1444403051485965	4.982251869011064	-0.8378115638624672	0.023957359296884473	0.381058015296821
C5orf27	1.376817113295055	2.2133475307417134	-0.8365304174466583	2.353230141480811E-4	0.1583768730029917
NBL1	12.42076920355968	13.252808897388334	-0.832039693828655	0.030196758741118823	0.39995881468600436
NBPF15	7.456933522339605	8.285730422490955	-0.8287969001513504	2.399935406263154E-4	0.1583768730029917
FOXE1	2.288500749570448	3.1137679600443304	-0.8252672104738825	0.008561191748907127	0.28661107377039813
CNDP1	1.5569105812268504	2.375908429995236	-0.8189978487683858	0.024272076635412088	0.3810716031759698
AL022328.1	0.0	0.8168644721090965	-0.8168644721090965	0.5142354533880967	0.8486096481609294
AC011530.4	2.398354249640967	3.2147373224162457	-0.8163830727752788	0.07737722597144348	0.49777253245917646
GPR173	4.3662647717061756	5.181438619999081	-0.8151738482929058	0.0033881070713559502	0.2375769481397835
CALN1	2.0470397901609334	2.8614701848943485	-0.814430394733415	0.054021197706493385	0.4597355386124568
LRRC10B	3.020416196993781	3.83279758901422	-0.812381392020439	0.0592238827299717	0.4681360035929881
COL18A1	9.445382416796287	10.257528736764844	-0.8121463199685568	1.487633464613003E-4	0.15286547208955073
PTX3	3.1921131186453615	4.003594661513124	-0.8114815428677624	0.013951613061446988	0.3274314137565368
HOXC4	0.18569407138473049	0.9969142560877181	-0.8112201847029876	0.23242638481704392	0.6714703871015234
CHST13	0.819057457283622	1.6290520014473813	-0.8099945441637593	0.007160087847477015	0.2786314527313064
LUZP6	3.3276931826066205	4.131897750362217	-0.8042045677555967	0.5810102277558451	0.8731214017567003
GRASP	7.738463998781122	8.541685422719963	-0.8032214239388411	0.0028795461406418976	0.23133498082343953
TP53TG3D	2.620035317949392	3.423019437894794	-0.802984119945402	0.07087931349847976	0.48729862492801557
RP11-268J15.5	4.706959786942178	5.508625288758808	-0.8016655018166299	0.001963412025670852	0.22209726591004694
LRRC24	5.999226418236545	6.796066666054795	-0.7968402478182499	0.03824958773370768	0.4181281463423075
ADAM33	7.173076105369367	7.968992780558366	-0.795916675188999	0.010351189311176512	0.302593675337314
DPY19L2	6.384602946589395	7.17651920586038	-0.7919162592709847	0.022436307781442566	0.37146367028693816
C8orf44-SGK3	1.5023706862446473	2.291619387342524	-0.7892487010978768	0.1820014094722513	0.6283620226177518
P2RX2	5.92615321540594	6.710228239679705	-0.7840750242737649	0.11748526310688112	0.5618806753420481
LIMS3L	3.891568986996697	4.672798331607508	-0.7812293446108107	0.017634154707190985	0.3485461884718885
ZNF556	0.1654276674288755	0.944613442561152	-0.7791857751322765	0.09777669633018937	0.5318725189860839
MSX1	4.953837242635119	5.728536781425023	-0.7746995387899043	0.0037913775466311694	0.23892238020500645
FLNA	14.548461531703166	15.322022495068415	-0.7735609633652487	0.02017710753423041	0.3645490896958375
LRRC37A	4.34299404369637	5.115602667252994	-0.7726086235566241	4.4449272240520976E-4	0.1583768730029917
C10orf112	2.8438860816227387	3.615347234747691	-0.7714611531249522	0.02156456316034172	0.36876415424989994
NKX2-3	0.18460843225536147	0.9546385544661937	-0.7700301222108322	0.0641111452024743	0.47482398390706054
A1BG	8.158466724142746	8.9277535843497	-0.7692868602069538	0.0852590322954071	0.5119477402452866
HSPA6	4.832989526200906	5.598073606692926	-0.76508408049202	0.07407004420526253	0.49268212018489455
ITGA7	8.890766533337027	9.650448741206251	-0.7596822078692238	0.014147768983657993	0.3278106472396684
FAM27A	5.838446791657978	6.596172891920943	-0.7577261002629649	0.24037001825820759	0.6783850569531189
COL6A1	10.950768661748528	11.707753021953806	-0.7569843602052782	0.00561280702109368	0.2622224553083903
GSTA2	2.757662173486201	3.5143577555087218	-0.756695582022521	0.38814512929966416	0.7738258450799654
MAPK12	7.220757867844578	7.977300259841996	-0.7565423919974181	8.482670843512619E-4	0.19310800175256476
CRIP2	10.88692274636066	11.64235928660375	-0.7554365402430889	0.0076024019788427655	0.2808416731007798
GJA4	6.766927734325794	7.520335934157615	-0.7534081998318207	0.008069056227276494	0.2850766513531986
AL031663.2	3.8415178532468466	4.593848579940804	-0.7523307266939576	0.0032275555081224816	0.2323329680392357
KRBA1	6.557677600115742	7.310002586766819	-0.752324986651077	3.276082226638666E-4	0.1583768730029917
MYBPHL	1.0398977510088123	1.7909365280456617	-0.7510387770368494	0.02692136217245278	0.3878891201619541
HHATL	3.2293067915649587	3.976531318695653	-0.7472245271306943	0.11515231053693309	0.5576053920496212
ADCYAP1	2.1294775590018795	2.876183318384337	-0.7467057593824573	0.12105405454620677	0.5671820019026287
PTH2R	2.170607085985497	2.915509510852134	-0.7449024248666372	0.1309858655768824	0.5777463269281139
CLDND2	5.558455019352433	6.302477848053496	-0.7440228287010635	0.26534178099117256	0.6971154811614592
GUCA1B	3.1268043149703852	3.8695254303581335	-0.7427211153877482	0.0013691531273783974	0.20797311512715264
BAIAP2L2	3.30670374350274	4.047036940931231	-0.740333197428491	0.16306822220726325	0.6114470790279346
COL27A1	6.643069731099347	7.382355499324116	-0.7392857682247689	0.014547394678738113	0.3307579923710094
CTAGE9	1.4169262849468944	2.1558678005219725	-0.738941515575078	0.023957359296884473	0.381058015296821
HLA-DQA2	5.103894118872649	5.84235816388432	-0.7384640450116713	0.17392336280845222	0.6196189912886408
AP000350.4	4.123087034482901	4.860777949415049	-0.7376909149321484	0.013757861897719659	0.3245572291208166
IGSF21	5.876884578538216	6.614170007403483	-0.7372854288652668	0.07737722597144348	0.49777253245917646
FOXD1	0.14292161500981326	0.8788319889016044	-0.7359103738917911	0.05339853044177556	0.458723602078121
CXorf28	1.31463898457136	2.050466514427383	-0.7358275298560231	0.3379034786038372	0.7465604940353128
PAX2	1.5507083349975446	2.285961711641333	-0.7352533766437883	0.13356496238820892	0.5798534195504317
PCDHGA3	4.019833923327722	4.752716859108547	-0.7328829357808253	0.02491227622279102	0.38416797169303135
PKDCC	8.00307313033075	8.734155002460435	-0.7310818721296855	0.03380889184325797	0.4107588647427713
AMH	2.5399786290594473	3.2708352086507007	-0.7308565795912534	0.07737722597144348	0.49777253245917646
MEIS3	7.6731136212488416	8.403932871327086	-0.7308192500782447	0.11059583456438526	0.5522816942930037
TMEM189-UBE2V1	0.0	0.7275332397708876	-0.7275332397708876	0.43379843270712315	0.7999531243886316
MSH5-SAPCD1	4.710780431408777	5.43728387588672	-0.7265034444779435	0.07822255303453574	0.49985583714560167
ASCL5	1.1978912309468894	1.9228716196420295	-0.72498038869514	0.013951613061446988	0.3274314137565368
SPATC1L	8.492315781020487	9.217189711625988	-0.7248739306055008	0.09777669633018937	0.5318725189860839
PLGLB1	4.710779922540292	5.435411485289816	-0.7246315627495239	0.04638288127300216	0.4390462753346754
FADS2	11.083076234958282	11.807527931681715	-0.7244516967234329	0.12105405454620677	0.5671820019026287
LMOD3	1.949212203671819	2.6722951134619453	-0.7230829097901263	0.049787161230141375	0.4519306031417639
GOLGA8A	7.281555943498262	8.001802866651868	-0.7202469231536064	0.04920564429478069	0.45009201099776297
TMEM110-MUSTN1	4.875414231217432	5.594582028961856	-0.719167797744424	0.012291502796679898	0.31662354870316023
MYO15B	9.804619539701523	10.522134139759435	-0.7175146000579122	0.019644325351092506	0.35883897020471084
SEC31B	5.350792909517362	6.067319733271854	-0.7165268237544922	0.005358796464572602	0.25750501639260215
NETO1	0.6485636144289036	1.3644245374268957	-0.7158609229979921	0.2208631956538052	0.6617901479511518
LCN1	0.0	0.7150710139303684	-0.7150710139303684	0.21523881426343605	0.659143986104876
NTRK1	3.9539594734141925	4.668184574886548	-0.7142251014723557	0.019909160647184843	0.36114106942881513
RP11-497E19.2	0.2688110474385262	0.9825155888673746	-0.7137045414288483	0.06932672285982433	0.48542032938220714
AC174470.1	3.1117088169530427	3.822683300299246	-0.7109744833462033	0.003613486417456624	0.2375769481397835
LDLR	9.009235414804571	9.720000686781358	-0.7107652719767863	0.01739601696418258	0.3477675751390704
FAM178B	4.233122978582398	4.943617017706497	-0.7104940391240993	0.02072245520726268	0.36876415424989994
EP400NL	5.989987846519077	6.69944227133095	-0.7094544248118728	1.670645042994856E-5	0.13381840545481516
PIWIL2	2.8768914265017784	3.5861410986215962	-0.7092496721198178	0.012644486543546107	0.31762950197387824
TUBB2B	5.838451351173837	6.5474217919146565	-0.7089704407408197	0.03175902961204846	0.40390743526161077
FAM124A	5.88310618755117	6.590669026986223	-0.7075628394350533	0.04475559047615707	0.43681072548326505
PRDM16	3.25391006220377	3.9605106848380096	-0.7066006226342396	0.04164518205870782	0.4294688876858363
SRMS	2.3900929804398054	3.0957859796710987	-0.7056929992312932	0.24238547129647525	0.6800684337161311
CXorf31	1.2039758390299744	1.9083787762415267	-0.7044029372115523	0.15857559315989223	0.6088928320952893
COLQ	4.936953149301156	5.64122229702648	-0.7042691477253236	4.0433300129860683E-4	0.1583768730029917
C11orf96	8.323075623172993	9.026744236470716	-0.7036686132977223	0.12718984892509977	0.5740722499687527
LRRC37A2	7.43693188494488	8.14044928672086	-0.7035174017759811	5.143470449064935E-5	0.13381840545481516
MAB21L1	3.2636299169622927	3.966874502006249	-0.7032445850439561	0.16156013639755507	0.6114470790279346
AC068620.1	0.685508877461622	1.3881878361609636	-0.7026789586993416	0.19377360872479632	0.6387339297911295
CFC1	6.160762407270926	6.862518311694995	-0.7017559044240684	0.5741538921679956	0.8710113023043345
RP11-57H12.6	1.2940278931607483	1.9949165688147301	-0.7008886756539818	0.18530941089953468	0.6304604878203485
FAM90A1	2.8053310698711944	3.5061331808563256	-0.7008021109851312	0.06197728265564295	0.4723059806081727
LDOC1	9.97926729136495	10.679887384887254	-0.7006200935223035	0.2505660290718701	0.683949118923396
RP11-680G10.1	0.7507853948359748	1.4512345279457095	-0.7004491331097347	0.385392457857599	0.7728217840236284
RP4-539M6.19	2.337601949751869	3.037803056798693	-0.7002011070468241	0.31563309940426953	0.7311511073964075
SOX18	6.315403542189612	7.015504559799609	-0.7001010176099971	0.05788571756008132	0.466054238817065
NOX5	3.562280173522939	4.2619041535380005	-0.6996239800150614	0.12347998909165192	0.5700424743566957
IBA57-AS1	2.0089404654822554	2.7084803849973063	-0.6995399195150509	0.11631419126901676	0.5593646821735763
NPIPA5	6.6269037950106275	7.326071886342737	-0.6991680913321092	0.05592566086594153	0.46296278895023957
LUC7L2	8.123839991243383	8.822584517792523	-0.6987445265491399	0.6123278259008911	0.8836540701511116
APOL4	7.646180787929888	8.344717863115244	-0.6985370751853566	0.11172138321418823	0.5525990850344367
NDUFA4L2	6.897692380365305	7.595958956425685	-0.6982665760603801	0.013377475376217918	0.32268951198898105
ASCL3	0.6530541545239676	1.351008732329771	-0.6979545778058034	0.11631419126901676	0.5593646821735763
ALOX15B	9.382316566531001	10.078534241788837	-0.6962176752578362	0.3718088552119675	0.764868730500435
VEPH1	4.504368271825868	5.200442135622653	-0.6960738637967854	0.12470710580552935	0.5715062433141169
SLC25A27	7.413076176297503	8.108650418395136	-0.6955742420976332	0.01938257210135519	0.35548378963734206
COL5A3	5.032997510430046	5.727982646724257	-0.6949851362942114	0.010965323938575855	0.3081797524218263
CHST5	1.7382336184936875	2.432941495713605	-0.6947078772199173	0.013377475376217918	0.32268951198898105
PCDHGB4	5.239979047918751	5.9339215139045125	-0.6939424659857618	0.03597084621335811	0.41686248625687194
TNNI3K	3.7968927277349334	4.490820446610213	-0.6939277188752797	0.06705030226928144	0.4815142369590511
PRCD	4.487661120670845	5.180593508846054	-0.6929323881752092	0.05592566086594153	0.46296278895023957
CDH16	0.4864845404459127	1.1783930688793562	-0.6919085284334435	0.03380889184325797	0.4107588647427713
VWDE	4.256361190440858	4.948167724285566	-0.6918065338447086	0.18364989322735292	0.6299928151170751
LENG8	10.036923579410352	10.72786486733146	-0.6909412879211079	0.002030893661830846	0.22635656663721987
INHA	3.0569342719942885	3.747732515251274	-0.6907982432569857	0.03686806195332948	0.41778766646451304
RP11-321N4.5	3.429265359808125	4.119783664387373	-0.6905183045792476	0.7216663654143372	0.9223149366263795
VSTM2A	4.279130569009679	4.969578034080688	-0.6904474650710091	0.5077843397192849	0.845780903143188
COL19A1	1.0437877637029496	1.7336260855210452	-0.6898383218180957	0.058551625189977696	0.4674889074791205
COL6A2	11.958462001588526	12.648089851456009	-0.6896278498674828	0.005036269586378039	0.25477928251976906
AC104057.1	0.8358368373979952	1.5244311935666863	-0.6885943561686911	0.008947725182421373	0.28995724381184707
MYOM3	2.3572173602998303	3.0455198036657696	-0.6883024433659393	0.08256262349647647	0.5074689500903913
CASQ1	5.394709049357808	6.081786027042067	-0.6870769776842591	0.5239914344559482	0.8530376333522596
HPX	4.402294270909691	5.0892829833309925	-0.6869887124213019	0.07993575936792385	0.5028635749943451
C21orf90	1.3489287430562271	2.035552264666367	-0.68662352161014	0.018119015755399093	0.3503009712710491
RBFOX3	8.137683222321943	8.824154907058787	-0.6864716847368442	0.24238547129647525	0.6800684337161311
PCDHGC4	1.5632337457865242	2.2492783763506985	-0.6860446305641743	0.008561191748907127	0.28661107377039813
ARMCX4	7.542307557792244	8.228312421949173	-0.6860048641569296	0.002566118965157238	0.23133498082343953
ALPK2	1.409176339237621	2.094979191714827	-0.685802852477206	0.009213999470837897	0.29183540584852136
FCAR	1.4714971025530577	2.155595825464932	-0.6840987229118742	0.04583500275729102	0.43795753946263594
COL16A1	9.419230385018544	10.102921594148782	-0.6836912091302381	0.0090799909294631	0.29011367510067015
ASPDH	1.7417168043844184	2.422337713406666	-0.6806209090222475	0.03058100298790345	0.4001014557584035
LILRB3	3.6216366646406257	4.301699978052934	-0.6800633134123082	0.035092315266474605	0.414462545806119
DOC2A	4.198359873560494	4.87413961640558	-0.6757797428450862	0.14565967120434808	0.5953217980192071
SHANK1	2.6079622100018787	3.283665770919578	-0.6757035609176993	0.034232166612981896	0.41096652495426916
RP11-20I23.1	1.4908908998606063	2.1664047115310154	-0.6755138116704091	0.06197728265564295	0.4723059806081727
DRD4	2.4342705644595535	3.1091240803101807	-0.6748535158506273	0.02692136217245278	0.3878891201619541
CPLX1	5.4153902473881725	6.088978239782723	-0.67358799239455	0.011123829232279392	0.30929340149354545
RP11-96O20.4	0.0	0.671060084724693	-0.671060084724693	0.15129701472629475	0.6013577547348931
CDA	5.542261760054137	6.21267724723688	-0.6704154871827432	0.019123871542933157	0.35430717043733334
BRSK1	5.970759056396962	6.641009061061635	-0.6702500046646733	0.015165496110931875	0.3339709977899532
DMRT2	2.275318907169889	2.9435551733454157	-0.6682362661755268	0.14153826722158291	0.5894568768898852
AC145676.2	1.3901394760260912	2.0573464305243814	-0.6672069544982902	0.016928187838772923	0.3456234943046328
KEL	2.898968027692031	3.566149380459413	-0.6671813527673822	0.07653935642845644	0.4960621919128287
NBPF14	6.796152528146428	7.463031075969655	-0.6668785478232273	0.011123829232279392	0.30929340149354545
ENGASE	7.593860126484892	8.260335164076357	-0.6664750375914652	1.8927538344692962E-4	0.1583768730029917
PCDHB7	4.0043676129595145	4.670636430210683	-0.6662688172511686	0.07570889952100268	0.4954403442603309
CD207	5.1930614260238475	5.8590909942407015	-0.666029568216854	0.29434917276637107	0.7155215075308529
ASIC2	1.34726535994265	2.0121454484584382	-0.6648800885157882	0.1903544836648059	0.6350496165054854
FAM132A	3.1637491457059506	3.8281493825105892	-0.6644002368046387	0.05217117046098496	0.456579219815213
KLRC4-KLRK1	2.1406484790249314	2.8037576540992593	-0.6631091750743279	0.26534178099117256	0.6971154811614592
NRN1L	4.126786958179098	4.788845847727752	-0.6620588895486543	0.06780217305308767	0.4819723558324874
DMRTC1	2.862219903576111	3.5241876038212165	-0.6619677002451057	0.4163255932097778	0.7916184697782912
SCARF2	6.812318166436446	7.47404576841045	-0.6617276019740039	0.002696414018286797	0.23133498082343953
LCN10	5.086165459582824	5.74710315266953	-0.6609376930867068	0.09279868315110751	0.5248552003434297
STAC2	5.8206571871258594	6.481017794478234	-0.6603606073523745	0.13356496238820892	0.5798534195504317
